,anchor,area,beta,beta_rel,delta,delta_rel,low_delta,low_delta_rel,size,subnet,g_peak_AMPA_Vp_PC_Vp_BC
0,0.0,Vp,0.3388914465904236,0.20305947959423065,0.4260914623737335,0.2553086280822754,0.1851767599582672,0.11095558106899261,0.1,A,1.975
1,0.5,Vp,0.0605333149433136,0.22454886138439178,0.046565961092710495,0.17273683845996857,0.02023184299468994,0.07505019754171371,0.1,A_bis,1.975
2,0.0,Vp,0.23703765869140625,0.2503654658794403,0.1921146661043167,0.20291660726070404,0.07435645908117294,0.07853726297616959,0.2,B,1.975
3,0.5,Vp,0.03221376985311508,0.2356109619140625,0.012442060746252537,0.09100101888179779,0.006169919855892658,0.04512668773531914,0.2,B_bis,1.975
4,0.0,Vp,0.19152860343456268,0.24866342544555664,0.1519443392753601,0.19727079570293427,0.05347856134176254,0.06943172961473465,0.3,C,1.975
5,0.5,Vp,0.018696974962949753,0.23573604226112366,0.006121626123785973,0.07718296349048615,0.0022409288212656975,0.028254179283976555,0.3,C_bis,1.975
6,0.0,Vp,0.059868358075618744,0.2350989431142807,0.051127418875694275,0.20077386498451233,0.01646345481276512,0.06465085595846176,0.5,D,1.975
7,0.5,Vp,0.010484552010893822,0.25635236501693726,0.0033926344476640224,0.08295155316591263,0.001664373790845275,0.040694743394851685,0.5,D_bis,1.975
8,0.0,Vp,0.011849543079733849,0.23490774631500244,0.008084348402917385,0.16026577353477478,0.00263968575745821,0.052329666912555695,1.0,full,1.975
