,anchor,area,beta,beta_rel,delta,delta_rel,low_delta,low_delta_rel,size,subnet,g_peak_AMPA_Vp_PC_Vp_BC
0,0.0,Vp,0.11231128871440887,0.20907673239707947,0.09665270149707794,0.17992697656154633,0.026303211227059364,0.04896559566259384,0.1,A,1.4
1,0.5,Vp,0.02360713854432106,0.18841518461704254,0.022424815222620964,0.17897874116897583,0.00777937937527895,0.06208940967917442,0.1,A_bis,1.4
2,0.0,Vp,0.059234607964754105,0.2722848653793335,0.01976519078016281,0.09085503965616226,0.0067811040207743645,0.031170833855867386,0.2,B,1.4
3,0.5,Vp,0.01480463333427906,0.2173435539007187,0.010550465434789658,0.1548890471458435,0.0038618138059973717,0.056694433093070984,0.2,B_bis,1.4
4,0.0,Vp,0.038166411221027374,0.29429471492767334,0.009683910757303238,0.07467098534107208,0.0036975687835365534,0.028511323034763336,0.3,C,1.4
5,0.5,Vp,0.008420216850936413,0.22103433310985565,0.0055396766401827335,0.1454189121723175,0.002023144159466028,0.05310840904712677,0.3,C_bis,1.4
6,0.0,Vp,0.009026199579238892,0.2676786482334137,0.0033070470672100782,0.09807293862104416,0.0012676911428570747,0.03759432211518288,0.5,D,1.4
7,0.5,Vp,0.0030772648751735687,0.19588728249073029,0.002228512428700924,0.14185884594917297,0.0007079582428559661,0.045065999031066895,0.5,D_bis,1.4
8,0.0,Vp,0.0016287323087453842,0.2325679212808609,0.0008890264434739947,0.12694476544857025,0.0002523011062294245,0.03602626547217369,1.0,full,1.4
