,anchor,area,beta,beta_rel,delta,delta_rel,low_delta,low_delta_rel,size,subnet,g_peak_AMPA_Vp_PC_Vp_BC
0,0.0,Vp,0.12036968767642975,0.10578091442584991,0.5662096738815308,0.4975852072238922,0.4387837052345276,0.3856032192707062,0.1,A,0.8
1,0.5,Vp,0.22992447018623352,0.11744841188192368,0.9976969957351685,0.5096365809440613,0.7481727600097656,0.38217636942863464,0.1,A_bis,0.8
2,0.0,Vp,0.07722672075033188,0.10117829591035843,0.38944849371910095,0.5102344751358032,0.3027309775352478,0.39662185311317444,0.2,B,0.8
3,0.5,Vp,0.16782644391059875,0.11785518378019333,0.7710111141204834,0.5414382219314575,0.6194573044776917,0.4350104331970215,0.2,B_bis,0.8
4,0.15,Vp,0.0681331604719162,0.15673436224460602,0.13755086064338684,0.3164236843585968,0.0987781211733818,0.22723039984703064,0.2,B_ter,0.8
5,0.65,Vp,0.18142147362232208,0.12628814578056335,0.7761929035186768,0.5403107404708862,0.6212868690490723,0.4324800670146942,0.2,B_four,0.8
6,0.0,Vp,0.054300252348184586,0.11338523775339127,0.22572748363018036,0.4713452160358429,0.1777365803718567,0.3711346387863159,0.3,C,0.8
7,0.5,Vp,0.13167013227939606,0.11923620849847794,0.6264812350273132,0.5673211216926575,0.5054328441619873,0.4577036201953888,0.3,C_bis,0.8
8,0.1,Vp,0.04420141875743866,0.1362697333097458,0.12708105146884918,0.3917815685272217,0.09893949329853058,0.305023193359375,0.3,C_ter,0.8
9,0.6,Vp,0.12706030905246735,0.11555042862892151,0.6296916604042053,0.5726504325866699,0.509660005569458,0.4634919762611389,0.3,C_four,0.8
10,0.0,Vp,0.0329316109418869,0.12234466522932053,0.1303369551897049,0.484216570854187,0.10386087000370026,0.38585489988327026,0.5,D,0.8
11,0.5,Vp,0.079500213265419,0.11477985233068466,0.41470587253570557,0.598738968372345,0.33492958545684814,0.48356056213378906,0.5,D_bis,0.8
12,0.0,Vp,0.04219862446188927,0.1241738572716713,0.20569394528865814,0.6052758693695068,0.1689772605895996,0.49723321199417114,1.0,full,0.8
