,startTime,startSample,endTime,endSample,duration,halfSlopetoFirstPeakSample,halfSlopetoFirstPeakTime,halfSlopetoFirstPeak_Amp,halfSlopefromLastPeakSample,halfSlopefromLastPeakTime,halfSlopefromLastPeak_Amp,start_Amp,end_Amp,maxPeak_Amp,maxPeakSample,maxPeakTime,n_peaks,meanAmp,AmpUp_maxPeak,subnet,subnet_size,subnet_anchor,g_peak_AMPA_Vp_PC_Vp_BC
0,2090.0,7,2350.0,33,260.0,14,2160.0,-0.020450123967745565,26,2280.0,0.09122444277907352,-0.2573013369313287,-0.033952203437690516,0.21640108899583754,21,2230.0,1,0.21640108899583754,0.4737024259271662,A,0.1,0.0,0.825
1,2350.0,33,2690.0,67,340.0,38,2400.0,0.006537721915818841,54,2560.0,-0.48034833959223167,-0.033952203437690516,-1.0077243264537916,0.04702764726932819,41,2430.0,1,0.04702764726932819,0.08097985070701871,A,0.1,0.0,0.825
2,2690.0,67,3290.0,127,600.0,82,2840.0,0.4426186122490514,109,3110.0,0.7102413729706749,-1.0077243264537916,-0.4724788050105444,1.8929615509518944,94,2960.0,1,1.8929615509518944,2.900685877405686,A,0.1,0.0,0.825
3,3880.0,186,4850.0,283,970.0,198,4000.0,0.16333176910743252,275,4770.0,-0.1625158265953935,-1.0060194011211585,-0.48500248225690146,1.3326829393360238,211,4130.0,3,0.6873280171108624,2.338702340457182,A,0.1,0.0,0.825
4,4850.0,283,5150.0,313,300.0,291,4930.0,-0.20235879354918035,304,5060.0,-0.29876882614741834,-0.48500248225690146,-0.6778225474533774,0.08028489515854074,297,4990.0,1,0.08028489515854074,0.5652873774154422,A,0.1,0.0,0.825
5,5540.0,352,5980.0,396,440.0,362,5640.0,0.29710320126598744,384,5860.0,0.3867786669819293,-0.5659337830215436,-0.3865828515896599,1.1601401855535185,372,5740.0,1,1.1601401855535185,1.7260739685750621,A,0.1,0.0,0.825
6,5980.0,396,6280.0,426,300.0,404,6060.0,0.0063656039311701385,418,6200.0,0.13832538763081959,-0.3865828515896599,-0.12266328419036093,0.3993140594520001,412,6140.0,1,0.3993140594520001,0.78589691104166,A,0.1,0.0,0.825
7,6280.0,426,6570.0,455,290.0,432,6340.0,0.0015755658489760571,446,6480.0,-0.35651686353885403,-0.12266328419036093,-0.8388481429660212,0.12581441588831305,438,6400.0,1,0.12581441588831305,0.24847770007867398,A,0.1,0.0,0.825
8,6570.0,455,7230.0,521,660.0,465,6670.0,0.025539297539884265,511,7130.0,-0.21512391799658692,-0.8388481429660212,-0.6713688517593768,0.8899267380457897,475,6770.0,2,0.5655238769059963,1.7287748810118109,A,0.1,0.0,0.825
9,7580.0,556,8260.0,624,680.0,573,7750.0,0.02928952545284158,614,8160.0,-0.21481888012460593,-0.3075862622084662,-0.8104208195658938,0.3807830593166821,605,8070.0,2,0.3734741862154157,0.6883693215251483,A,0.1,0.0,0.825
10,8260.0,624,8850.0,683,590.0,636,8380.0,0.14608252411678035,668,8700.0,0.2689139971571364,-0.8104208195658938,-0.5647578734851817,1.1025858677994544,648,8500.0,1,1.1025858677994544,1.9130066873653484,A,0.1,0.0,0.825
11,9380.0,736,9710.0,769,330.0,745,9470.0,-0.17969876547941477,760,9620.0,0.17472300808062186,-0.7216622404116039,-0.012818693291530715,0.3622647094527744,754,9560.0,1,0.3622647094527744,1.0839269498643782,A,0.1,0.0,0.825
12,9710.0,769,10050.0,803,340.0,782,9840.0,0.07499710324739042,796,9980.0,-0.010476763314433979,-0.012818693291530715,-0.18376642641517954,0.16281289978631155,790,9920.0,1,0.16281289978631155,0.17563159307784226,A,0.1,0.0,0.825
13,10050.0,803,10670.0,865,620.0,812,10140.0,0.33818590573729596,848,10500.0,0.11605434355843525,-0.18376642641517954,-0.6280295507729009,0.8601382378897714,821,10230.0,1,0.8601382378897714,1.043904664304951,A,0.1,0.0,0.825
14,11130.0,911,11690.0,967,560.0,923,11250.0,0.1413981861118082,957,11590.0,-0.10217190025568579,-0.6040554478239178,-1.032325254039127,0.8868518200475342,932,11340.0,2,0.8574166367876448,1.4909072678714521,A,0.1,0.0,0.825
15,11690.0,967,12630.0,1061,940.0,977,11790.0,-0.2236092202405533,1037,12390.0,-0.34717691390165917,-1.032325254039127,-1.320507215767474,0.6261533879641555,1016,12180.0,2,0.605630100761088,1.6584786420032827,A,0.1,0.0,0.825
16,12850.0,1083,13680.0,1166,830.0,1095,12970.0,0.6425716868975854,1124,13260.0,0.4209807016606071,-0.9158313929733931,-1.3590133634473496,2.2009747667685637,1106,13080.0,1,2.2009747667685637,3.116806159741957,A,0.1,0.0,0.825
17,13680.0,1166,14370.0,1235,690.0,1177,13790.0,-0.19730421880867421,1213,14150.0,0.13078043481292223,-1.3590133634473496,-0.7028440562041569,0.9644049258300013,1187,13890.0,1,0.9644049258300013,2.3234182892773507,A,0.1,0.0,0.825
18,14370.0,1235,14680.0,1266,310.0,1244,14460.0,-0.07373158431643934,1258,14600.0,0.1685083457436402,-0.7028440562041569,-0.21836419608399782,0.5553808875712782,1252,14540.0,1,0.5553808875712782,1.2582249437754351,A,0.1,0.0,0.825
19,14680.0,1266,14950.0,1293,270.0,1271,14730.0,-0.0699167068310724,1284,14860.0,-0.449598932325858,-0.21836419608399782,-0.9777286470735691,0.078530782421853,1276,14780.0,1,0.078530782421853,0.29689497850585084,A,0.1,0.0,0.825
