metadata_filename,session,t_min,min_n_spikes,duration,count,mean,std,min,25%,50%,75%,max
spike_detector_Rp_layer_Rp_inh,02_noise,0,0,0,845.0,2.6671650409698486,11.27587604522705,0.580886960029602,1.0688114166259766,1.3410648107528687,1.8513821363449097,291.2000732421875
spike_detector_Rp_layer_Rp_inh,02_noise,0,10,0,29.0,1.114214539527893,0.3171914219856262,0.6504726409912109,0.9055037498474121,1.0901567935943604,1.14451265335083,2.1177594661712646
spike_detector_Rp_layer_Rp_inh,02_noise,0,50,0,0.0,,,,,,,
spike_detector_Rp_layer_Rp_inh,03_grating,0,0,0,1095.0,2.644641876220703,17.07004737854004,0.44697239995002747,0.7433103322982788,0.9188681840896606,1.1750028133392334,494.0911865234375
spike_detector_Rp_layer_Rp_inh,03_grating,0,10,0,123.0,0.6473699808120728,0.08668611198663712,0.47450652718544006,0.5812071561813354,0.6281880736351013,0.6972639560699463,1.0094175338745117
spike_detector_Rp_layer_Rp_inh,03_grating,0,50,0,0.0,,,,,,,
spike_detector_Rp_layer_Rp_inh,04_warmup,0,0,0,0.0,,,,,,,
spike_detector_Rp_layer_Rp_inh,04_warmup,0,10,0,0.0,,,,,,,
spike_detector_Rp_layer_Rp_inh,04_warmup,0,50,0,0.0,,,,,,,
spike_detector_Rp_layer_Rp_inh,05_noise,0,0,0,887.0,2.409883737564087,7.01021671295166,0.5965455174446106,1.0786831378936768,1.3810739517211914,1.9370025396347046,170.43746948242188
spike_detector_Rp_layer_Rp_inh,05_noise,0,10,0,26.0,1.0288296937942505,0.19984449446201324,0.6992406249046326,0.8897345066070557,1.030604362487793,1.146268606185913,1.505683183670044
spike_detector_Rp_layer_Rp_inh,05_noise,0,50,0,0.0,,,,,,,
spike_detector_Rp_layer_Rp_inh,06_grating,0,0,0,1108.0,1.746431589126587,5.450736045837402,0.3648546040058136,0.7403600811958313,0.9278030395507812,1.150272250175476,108.74702453613281
spike_detector_Rp_layer_Rp_inh,06_grating,0,10,0,127.0,0.6685724258422852,0.10154152661561966,0.3648546040058136,0.601377010345459,0.6626057624816895,0.7295302152633667,0.9962566494941711
spike_detector_Rp_layer_Rp_inh,06_grating,0,50,0,0.0,,,,,,,
spike_detector_Rp_layer_Rp_inh,07_warmup,0,0,0,0.0,,,,,,,
spike_detector_Rp_layer_Rp_inh,07_warmup,0,10,0,0.0,,,,,,,
spike_detector_Rp_layer_Rp_inh,07_warmup,0,50,0,0.0,,,,,,,
spike_detector_Rp_layer_Rp_inh,08_noise,0,0,0,863.0,2.939854860305786,14.998333930969238,0.5086745023727417,1.0783395767211914,1.3304688930511475,1.9137934446334839,331.0
spike_detector_Rp_layer_Rp_inh,08_noise,0,10,0,29.0,1.1437759399414062,0.3263462781906128,0.7616657018661499,0.8904851675033569,1.0533099174499512,1.3197814226150513,2.0386462211608887
spike_detector_Rp_layer_Rp_inh,08_noise,0,50,0,0.0,,,,,,,
spike_detector_Rp_layer_Rp_inh,09_grating,0,0,0,1099.0,5.736854076385498,101.74078369140625,0.4252212941646576,0.7342891097068787,0.9249597787857056,1.1714483499526978,3259.819580078125
spike_detector_Rp_layer_Rp_inh,09_grating,0,10,0,136.0,0.6449995636940002,0.08178658783435822,0.4557618498802185,0.5908362865447998,0.6505415439605713,0.6883856058120728,0.8890771269798279
spike_detector_Rp_layer_Rp_inh,09_grating,0,50,0,0.0,,,,,,,
spike_detector_Rp_layer_Rp_inh,10_warmup,0,0,0,0.0,,,,,,,
spike_detector_Rp_layer_Rp_inh,10_warmup,0,10,0,0.0,,,,,,,
spike_detector_Rp_layer_Rp_inh,10_warmup,0,50,0,0.0,,,,,,,
spike_detector_Rp_layer_Rp_inh,11_noise,0,0,0,888.0,2.048224925994873,2.6678924560546875,0.5498787760734558,1.0591139793395996,1.3495862483978271,1.9287991523742676,29.882173538208008
spike_detector_Rp_layer_Rp_inh,11_noise,0,10,0,28.0,1.065632939338684,0.30812960863113403,0.6156455278396606,0.8739610314369202,0.9856544733047485,1.1801878213882446,2.051868438720703
spike_detector_Rp_layer_Rp_inh,11_noise,0,50,0,0.0,,,,,,,
spike_detector_Rp_layer_Rp_inh,12_grating,0,0,0,1091.0,1.960013747215271,7.380646228790283,0.429255872964859,0.744765043258667,0.9372478723526001,1.1848186254501343,136.0889129638672
spike_detector_Rp_layer_Rp_inh,12_grating,0,10,0,120.0,0.6491371393203735,0.09117946028709412,0.429255872964859,0.5874839425086975,0.644268274307251,0.7053239345550537,0.9381839632987976
spike_detector_Rp_layer_Rp_inh,12_grating,0,50,0,0.0,,,,,,,
spike_detector_Rp_layer_Rp_inh,13_warmup,0,0,0,0.0,,,,,,,
spike_detector_Rp_layer_Rp_inh,13_warmup,0,10,0,0.0,,,,,,,
spike_detector_Rp_layer_Rp_inh,13_warmup,0,50,0,0.0,,,,,,,
spike_detector_Rp_layer_Rp_inh,14_noise,0,0,0,856.0,5.073641300201416,65.85375213623047,0.5407670140266418,1.080670714378357,1.3654388189315796,1.88717782497406,1896.7799072265625
spike_detector_Rp_layer_Rp_inh,14_noise,0,10,0,33.0,1.0520567893981934,0.2608926594257355,0.5407670140266418,0.8754554986953735,1.015181541442871,1.187186598777771,1.6431331634521484
spike_detector_Rp_layer_Rp_inh,14_noise,0,50,0,0.0,,,,,,,
spike_detector_Rp_layer_Rp_inh,15_grating,0,0,0,1105.0,2.1862804889678955,8.785850524902344,0.38992422819137573,0.7475304007530212,0.9241530299186707,1.1900737285614014,131.7199249267578
