,count,mean,std,min,25%,50%,75%,max,session,area,binsize,n_units
0,39.0,0.40342098377812663,0.04675970872293191,0.2848639455782313,0.38159013605442177,0.39965986394557823,0.42835884353741494,0.5165816326530612,02_noise,Vp_exc,25,18816
0,9.0,0.40355725623582767,0.018906179215875583,0.3778698979591837,0.3938137755102041,0.3991284013605442,0.40869472789115646,0.43579931972789115,02_noise,Vp_exc,100,18816
0,39.0,0.44839089481946626,0.0856393828834363,0.2657312925170068,0.39647108843537415,0.44642857142857145,0.5017006802721089,0.6441326530612245,03_grating,Vp_exc,25,18816
0,9.0,0.44825916477702193,0.03411425909647013,0.3948767006802721,0.4411139455782313,0.4432397959183674,0.4714073129251701,0.5086096938775511,03_grating,Vp_exc,100,18816
0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04_warmup,Vp_exc,25,18816
0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04_warmup,Vp_exc,100,18816
0,39.0,0.44779129600558165,0.0512564264628945,0.31887755102040816,0.4251700680272109,0.44855442176870747,0.47512755102040816,0.5569727891156463,05_noise,Vp_exc,25,18816
0,9.0,0.4455428004535148,0.012857111398174898,0.4320790816326531,0.43633078231292516,0.4437712585034014,0.4522746598639456,0.4719387755102041,05_noise,Vp_exc,100,18816
0,39.0,0.45929269143554863,0.09783404093574645,0.2848639455782313,0.39753401360544216,0.46130952380952384,0.5176445578231292,0.7759353741496599,06_grating,Vp_exc,25,18816
0,9.0,0.4600694444444444,0.01924672508740627,0.4379251700680272,0.4437712585034014,0.45121173469387754,0.47619047619047616,0.48894557823129253,06_grating,Vp_exc,100,18816
0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,07_warmup,Vp_exc,25,18816
0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,07_warmup,Vp_exc,100,18816
0,39.0,0.455640589569161,0.048071175187490454,0.3550170068027211,0.4262329931972789,0.45068027210884354,0.4793792517006803,0.5931122448979592,08_noise,Vp_exc,25,18816
0,9.0,0.45422335600907027,0.017021328697630518,0.428890306122449,0.4458971088435374,0.44908588435374147,0.4730017006802721,0.47884778911564624,08_noise,Vp_exc,100,18816
