,startTime,startSample,endTime,endSample,duration,halfSlopetoFirstPeakSample,halfSlopetoFirstPeakTime,halfSlopetoFirstPeak_Amp,halfSlopefromLastPeakSample,halfSlopefromLastPeakTime,halfSlopefromLastPeak_Amp,start_Amp,end_Amp,maxPeak_Amp,maxPeakSample,maxPeakTime,n_peaks,meanAmp,AmpUp_maxPeak,subnet,subnet_size,subnet_anchor,g_peak_GABA_B1a_Vp_PC_Vp_BC
0,2110.0,9,2850.0,83,740.0,42,2440.0,0.692075111594565,68,2700.0,0.5990121987610044,-0.858865017009313,-1.0449908426764343,2.243015240198443,55,2570.0,1,2.243015240198443,3.101880257207756,A,0.1,0.0,0.06
1,3170.0,115,4250.0,223,1080.0,132,3340.0,0.05350215601972286,193,3950.0,-0.39651070165496105,-1.5896270448431409,-1.28855770138912,1.6966313568825868,151,3530.0,2,1.0960838274808924,3.2862584017257275,A,0.1,0.0,0.06
2,4250.0,223,4810.0,279,560.0,235,4370.0,0.11638481841744897,261,4630.0,0.17302566733011004,-1.28855770138912,-1.175276003563798,1.521327338224018,245,4470.0,1,1.521327338224018,2.809885039613138,A,0.1,0.0,0.06
3,4810.0,279,5340.0,332,530.0,290,4920.0,0.09058576930604412,312,5140.0,0.31126171314850526,-1.175276003563798,-0.7339241158788755,1.3564475421758861,300,5020.0,1,1.3564475421758861,2.531723545739684,A,0.1,0.0,0.06
4,5340.0,332,5870.0,385,530.0,358,5600.0,0.20661831747228765,377,5790.0,0.2516004466213141,-0.7339241158788755,-0.6439598575808227,1.147160750823451,369,5710.0,1,1.147160750823451,1.8810848667023263,A,0.1,0.0,0.06
5,6110.0,409,6520.0,450,410.0,419,6210.0,0.0675978041337868,437,6390.0,0.8819585425671226,-1.9210956326277149,-0.2923741557610436,2.0562912408952885,428,6300.0,1,2.0562912408952885,3.9773868735230034,A,0.1,0.0,0.06
6,6750.0,473,7030.0,501,280.0,482,6840.0,-0.2994844552550875,495,6970.0,0.21213900061974106,-1.1527407086515074,-0.12949379690185014,0.5537717981413323,490,6920.0,1,0.5537717981413323,1.7065125067928397,A,0.1,0.0,0.06
7,7030.0,501,7620.0,560,590.0,510,7120.0,0.8889420953773612,533,7350.0,0.12087344932461641,-0.12949379690185014,-1.6656310890073398,1.9073779876565726,519,7210.0,1,1.9073779876565726,2.0368717845584228,A,0.1,0.0,0.06
8,8130.0,611,8700.0,668,570.0,622,8240.0,0.7454888373727915,650,8520.0,1.1277095733765057,-1.3560245223253515,-0.5915830503179235,2.8470021970709345,632,8340.0,1,2.8470021970709345,4.203026719396286,A,0.1,0.0,0.06
9,8700.0,668,9070.0,705,370.0,674,8760.0,-0.22494305073349224,690,8920.0,-0.28596509926725655,-0.5915830503179235,-0.7136271473854521,0.14169694885093898,681,8830.0,1,0.14169694885093898,0.7332799991688624,A,0.1,0.0,0.06
10,9600.0,758,10260.0,824,660.0,768,9700.0,0.625044579164185,804,10060.0,1.131468933101749,-2.2669214128167576,-1.2540727049416305,3.517010571145128,778,9800.0,1,3.517010571145128,5.783931983961885,A,0.1,0.0,0.06
11,10450.0,843,10970.0,895,520.0,853,10550.0,-0.4097003789989049,885,10870.0,-0.14976219574372618,-1.4948705552978796,-0.9749941887875219,0.6754697973000696,863,10650.0,1,0.6754697973000696,2.1703403525979494,A,0.1,0.0,0.06
12,10970.0,895,11520.0,950,550.0,904,11060.0,-0.11998449156768987,942,11440.0,-0.16935383807119253,-0.9749941887875219,-0.5125120341042875,0.735025205652142,913,11150.0,2,0.4544147818070222,1.710019394439664,A,0.1,0.0,0.06
13,11520.0,950,11800.0,978,280.0,958,11600.0,-0.24443367967892504,970,11720.0,-0.8368649010317942,-0.5125120341042875,-1.6973744768100258,0.023644674746437402,963,11650.0,1,0.023644674746437402,0.5361567088507249,A,0.1,0.0,0.06
14,11800.0,978,12350.0,1033,550.0,988,11900.0,0.3056892093226573,1011,12130.0,0.7105924911020624,-1.6973744768100258,-0.8875679132512154,2.3087528954553402,997,11990.0,1,2.3087528954553402,4.006127372265366,A,0.1,0.0,0.06
15,12350.0,1033,13180.0,1116,830.0,1051,12530.0,-0.13269664653912272,1092,12940.0,-0.6288706165551272,-0.8875679132512154,-1.7288827405436715,0.62217462017297,1062,12640.0,2,0.5466580638031936,1.5097425334241854,A,0.1,0.0,0.06
16,13180.0,1116,14120.0,1210,940.0,1132,13340.0,0.4606801955699338,1168,13700.0,0.6678031592274147,-1.7288827405436715,-1.3146368132287096,2.6502431316835393,1144,13460.0,1,2.6502431316835393,4.379125872227211,A,0.1,0.0,0.06
17,14430.0,1241,15040.0,1302,610.0,1253,14550.0,0.5599888358243363,1281,14830.0,0.9347386524332427,-1.705222619136323,-0.9557229859185102,2.825200290784996,1264,14660.0,1,2.825200290784996,4.5304229099213185,A,0.1,0.0,0.06
18,15250.0,1323,15640.0,1362,390.0,1334,15360.0,0.013503920386761292,1351,15530.0,0.8188787672586747,-1.8718670952989405,-0.26111740155511354,1.898874936072463,1343,15450.0,1,1.898874936072463,3.7707420313714035,A,0.1,0.0,0.06
