,anchor,area,beta,beta_rel,delta,delta_rel,low_delta,low_delta_rel,size,subnet,g_peak_AMPA_Vp_PC_Vp_BC
0,0.0,Vp,0.1480729728937149,0.20760418474674225,0.14239022135734558,0.19963674247264862,0.05880381911993027,0.08244528621435165,0.1,A,1.475
1,0.5,Vp,0.034193918108940125,0.17422595620155334,0.0373142845928669,0.19012495875358582,0.012509714812040329,0.06373990327119827,0.1,A_bis,1.475
2,0.0,Vp,0.10052838921546936,0.2913341224193573,0.048463840037584305,0.14044958353042603,0.029308712109923363,0.08493747562170029,0.2,B,1.475
3,0.5,Vp,0.019302722066640854,0.20823560655117035,0.01602555252611637,0.1728818714618683,0.005864977836608887,0.06327072530984879,0.2,B_bis,1.475
4,0.0,Vp,0.07172713428735733,0.30653366446495056,0.03165699169039726,0.13528957962989807,0.018882054835557938,0.08069450408220291,0.3,C,1.475
5,0.5,Vp,0.012761605903506279,0.24976623058319092,0.006559835746884346,0.12838709354400635,0.002384358551353216,0.04666593298316002,0.3,C_bis,1.475
6,0.0,Vp,0.018045838922262192,0.2809503674507141,0.008382005617022514,0.13049699366092682,0.0047357575967907906,0.07372961938381195,0.5,D,1.475
7,0.5,Vp,0.005856209900230169,0.2470155507326126,0.0027717682532966137,0.11691347509622574,0.0009240980725735426,0.03897855430841446,0.5,D_bis,1.475
8,0.0,Vp,0.003555156057700515,0.2713129222393036,0.0016182484105229378,0.12349717319011688,0.0008967570029199123,0.06843630969524384,1.0,full,1.475
