,anchor,area,beta,beta_rel,delta,delta_rel,low_delta,low_delta_rel,size,subnet,g_peak_AMPA_Vp_PC_Vp_BC
0,0.0,Vp,0.06851252913475037,0.20512987673282623,0.047067802399396896,0.14092332124710083,0.018602240830659866,0.0556960254907608,0.1,A,1.175
1,0.5,Vp,0.047625914216041565,0.20719675719738007,0.032500844448804855,0.14139507710933685,0.014302384108304977,0.06222258508205414,0.1,A_bis,1.175
2,0.0,Vp,0.042661577463150024,0.22168484330177307,0.012571845203638077,0.06532781571149826,0.005844039376825094,0.030367722734808922,0.2,B,1.175
3,0.5,Vp,0.03098020702600479,0.24127297103405,0.010588454082608223,0.08246257901191711,0.0047457460314035416,0.03695973381400108,0.2,B_bis,1.175
4,0.0,Vp,0.029652662575244904,0.20960940420627594,0.007639775518327951,0.05400421842932701,0.0031306901946663857,0.022130293771624565,0.3,C,1.175
5,0.5,Vp,0.019895121455192566,0.23383724689483643,0.006499169394373894,0.07638796418905258,0.0029829274863004684,0.03505982831120491,0.3,C_bis,1.175
6,0.0,Vp,0.010917258448898792,0.1836320012807846,0.0031590708531439304,0.05313664674758911,0.0012953684199601412,0.02178853750228882,0.5,D,1.175
7,0.5,Vp,0.010370495729148388,0.2153777778148651,0.0029617371037602425,0.06151030212640762,0.001329653663560748,0.027614671736955643,0.5,D_bis,1.175
8,0.0,Vp,0.003792941104620695,0.1621662825345993,0.0011691901599988341,0.04998844489455223,0.000532302656210959,0.022758472710847855,1.0,full,1.175
