,anchor,area,beta,beta_rel,delta,delta_rel,low_delta,low_delta_rel,size,subnet,g_peak_AMPA_Vp_PC_Vp_BC
0,0.0,Vp,0.25090521574020386,0.243423193693161,0.18523000180721283,0.1797064244747162,0.0736769437789917,0.07147988677024841,0.1,A,1.8
1,0.5,Vp,0.051799628883600235,0.21308916807174683,0.039501793682575226,0.1624993234872818,0.012311099097132683,0.050644416362047195,0.1,A_bis,1.8
2,0.0,Vp,0.1555769443511963,0.25679293274879456,0.09020945429801941,0.14889836311340332,0.02850642427802086,0.04705227166414261,0.2,B,1.8
3,0.5,Vp,0.03473268449306488,0.24690113961696625,0.015834439545869827,0.11256087571382523,0.005368131212890148,0.03815995529294014,0.2,B_bis,1.8
4,0.0,Vp,0.122346892952919,0.2460075169801712,0.07508889585733414,0.15098407864570618,0.023671818897128105,0.047597821801900864,0.3,C,1.8
5,0.5,Vp,0.022183319553732872,0.2534679174423218,0.0077084265649318695,0.08807693421840668,0.0024723047390580177,0.028248699381947517,0.3,C_bis,1.8
6,0.0,Vp,0.03928403556346893,0.23436616361141205,0.02762260101735592,0.16479475796222687,0.008624103851616383,0.051450878381729126,0.5,D,1.8
7,0.5,Vp,0.011504076421260834,0.2691382169723511,0.002934854244813323,0.06866100430488586,0.0014201616868376732,0.03322472795844078,0.5,D_bis,1.8
8,0.0,Vp,0.008904550224542618,0.2498929500579834,0.004358707927167416,0.12232065200805664,0.0014887345023453236,0.04177911579608917,1.0,full,1.8
