,anchor,area,beta,beta_rel,delta,delta_rel,low_delta,low_delta_rel,size,subnet,g_peak_AMPA_Vp_PC_Vp_BC
0,0.0,Vp,0.12258836627006531,0.20696532726287842,0.11580437421798706,0.19551195204257965,0.044823721051216125,0.07567566633224487,0.1,A,1.375
1,0.5,Vp,0.05115315318107605,0.20982703566551208,0.03708071634173393,0.1521027684211731,0.013178091496229172,0.05405570566654205,0.1,A_bis,1.375
2,0.0,Vp,0.07056579738855362,0.2373705506324768,0.030230723321437836,0.10169067233800888,0.013304164633154869,0.04475279897451401,0.2,B,1.375
3,0.5,Vp,0.0343603678047657,0.2481289654970169,0.014092435128986835,0.10176669806241989,0.005803893785923719,0.04191207140684128,0.2,B_bis,1.375
4,0.0,Vp,0.049833737313747406,0.2301977425813675,0.02054435759782791,0.09490086883306503,0.009691577404737473,0.044768452644348145,0.3,C,1.375
5,0.5,Vp,0.022161660715937614,0.2634749114513397,0.006125051062554121,0.07281932979822159,0.002382732694968581,0.028327764943242073,0.3,C_bis,1.375
6,0.0,Vp,0.016056952998042107,0.21795925498008728,0.0061269039288163185,0.0831674262881279,0.002815640065819025,0.0382198803126812,0.5,D,1.375
7,0.5,Vp,0.00989304855465889,0.24656881392002106,0.002147895749658346,0.053532954305410385,0.001013417961075902,0.025257863104343414,0.5,D_bis,1.375
8,0.0,Vp,0.005506886634975672,0.25196346640586853,0.001312028500251472,0.06003087759017944,0.00057056057266891,0.026105569675564766,1.0,full,1.375
