,anchor,area,beta,beta_rel,delta,delta_rel,low_delta,low_delta_rel,size,subnet,g_peak_AMPA_Vp_PC_Vp_BC
0,0.0,Vp,0.1813477873802185,0.11036064475774765,0.880389392375946,0.5357679724693298,0.7203389406204224,0.438368022441864,0.1,A,0.8875
1,0.5,Vp,0.24512426555156708,0.1422298550605774,0.7481696009635925,0.4341147243976593,0.5436825752258301,0.315464049577713,0.1,A_bis,0.8875
2,0.0,Vp,0.12047700583934784,0.1077660471200943,0.6386674046516418,0.5712845921516418,0.540091335773468,0.48310884833335876,0.2,B,0.8875
3,0.5,Vp,0.1605500876903534,0.12866976857185364,0.6417585015296936,0.514324963092804,0.5041311979293823,0.40402621030807495,0.2,B_bis,0.8875
4,0.15,Vp,0.10739957541227341,0.16919444501399994,0.2493262141942978,0.39278191328048706,0.19294202327728271,0.3039557635784149,0.2,B_ter,0.8875
5,0.65,Vp,0.18051506578922272,0.1043911725282669,0.9835924506187439,0.5688077211380005,0.7969673275947571,0.46088314056396484,0.2,B_four,0.8875
6,0.0,Vp,0.09016703069210052,0.12274377048015594,0.41426795721054077,0.563940167427063,0.35101014375686646,0.4778277277946472,0.3,C,0.8875
7,0.5,Vp,0.11462202668190002,0.10738253593444824,0.6216744184494019,0.582409679889679,0.50892573595047,0.4767821729183197,0.3,C_bis,0.8875
8,0.1,Vp,0.06913815438747406,0.14385811984539032,0.2334088683128357,0.4856618046760559,0.18716245889663696,0.3894353210926056,0.3,C_ter,0.8875
9,0.6,Vp,0.12960666418075562,0.09464611113071442,0.8247717618942261,0.6022949814796448,0.6758983731269836,0.4935792088508606,0.3,C_four,0.8875
10,0.0,Vp,0.0520760715007782,0.12394174933433533,0.24187830090522766,0.5756736397743225,0.19876110553741455,0.47305411100387573,0.5,D,0.8875
11,0.5,Vp,0.07593211531639099,0.08965516835451126,0.539793074131012,0.6373487710952759,0.448309987783432,0.5293321013450623,0.5,D_bis,0.8875
12,0.0,Vp,0.04403435438871384,0.10167977958917618,0.28561171889305115,0.6595063805580139,0.23411431908607483,0.540593683719635,1.0,full,0.8875
