,anchor,area,beta,beta_rel,delta,delta_rel,low_delta,low_delta_rel,size,subnet,g_peak_AMPA_Vp_PC_Vp_BC
0,0.0,Vp,0.11561167240142822,0.22014416754245758,0.08579990267753601,0.16337750852108002,0.02518029510974884,0.047947537153959274,0.1,A,1.35
1,0.5,Vp,0.0376252681016922,0.18950578570365906,0.0381937213242054,0.19236889481544495,0.013760666362941265,0.0693078339099884,0.1,A_bis,1.35
2,0.0,Vp,0.07075386494398117,0.2964441478252411,0.02003682777285576,0.08395018428564072,0.006970078218728304,0.02920319326221943,0.2,B,1.35
3,0.5,Vp,0.02011767029762268,0.20812104642391205,0.017066020518541336,0.17655114829540253,0.0072112977504730225,0.07460221648216248,0.2,B_bis,1.35
4,0.0,Vp,0.0458107516169548,0.3082798421382904,0.009801585227251053,0.06595899909734726,0.0030499829445034266,0.02052461914718151,0.3,C,1.35
5,0.5,Vp,0.012512382119894028,0.2333945631980896,0.007879288867115974,0.14697307348251343,0.0032406379468739033,0.06044790521264076,0.3,C_bis,1.35
6,0.0,Vp,0.012104760855436325,0.27614688873291016,0.0032653328962624073,0.07449230551719666,0.0009940885938704014,0.022678224369883537,0.5,D,1.35
7,0.5,Vp,0.005537569057196379,0.23181888461112976,0.003240531776100397,0.1356581747531891,0.0012652254663407803,0.052966050803661346,0.5,D_bis,1.35
8,0.0,Vp,0.002764140721410513,0.26600274443626404,0.0008496825466863811,0.08176786452531815,0.00027498940471559763,0.02646317332983017,1.0,full,1.35
