,anchor,area,beta,beta_rel,delta,delta_rel,low_delta,low_delta_rel,size,subnet,g_peak_AMPA_Vp_PC_Vp_BC
0,0.0,Vp,0.2990022897720337,0.2487446367740631,0.1643911451101303,0.13675953447818756,0.05410786718130112,0.045013170689344406,0.1,A,1.95
1,0.5,Vp,0.03887380659580231,0.17883503437042236,0.03549688309431076,0.16329984366893768,0.013765620067715645,0.0633273497223854,0.1,A_bis,1.95
2,0.0,Vp,0.20027035474777222,0.25828877091407776,0.06469176709651947,0.08343299478292465,0.018656549975275993,0.024061359465122223,0.2,B,1.95
3,0.5,Vp,0.02724243327975273,0.21019864082336426,0.012713741511106491,0.09809737652540207,0.005533435381948948,0.04269517958164215,0.2,B_bis,1.95
4,0.0,Vp,0.15881936252117157,0.2502048909664154,0.048039354383945465,0.07568146288394928,0.014224274083971977,0.022408999502658844,0.3,C,1.95
5,0.5,Vp,0.01888255402445793,0.22141970694065094,0.005546218249946833,0.06503579765558243,0.0027053242083638906,0.03172304481267929,0.3,C_bis,1.95
6,0.0,Vp,0.04972836747765541,0.23612992465496063,0.016773303970694542,0.0796462669968605,0.004568204283714294,0.021691637113690376,0.5,D,1.95
7,0.5,Vp,0.010069284588098526,0.21171152591705322,0.0026469461154192686,0.05565330758690834,0.0010344871552661061,0.021750587970018387,0.5,D_bis,1.95
8,0.0,Vp,0.010489868000149727,0.21846778690814972,0.003099170047789812,0.06454502791166306,0.0007614262867718935,0.015857884660363197,1.0,full,1.95
