,anchor,area,beta,beta_rel,delta,delta_rel,low_delta,low_delta_rel,size,subnet,g_peak_AMPA_Vp_PC_Vp_BC
0,0.0,Vp,0.04693673551082611,0.18245777487754822,0.051641903817653656,0.2007482349872589,0.01663237437605858,0.06465523689985275,0.1,A,1.05
1,0.5,Vp,0.03515263646841049,0.1782313883304596,0.036056242883205414,0.1828128695487976,0.008992425166070461,0.045593518763780594,0.1,A_bis,1.05
2,0.0,Vp,0.027643274515867233,0.2355351597070694,0.014667199924588203,0.12497221678495407,0.005425344221293926,0.04622677341103554,0.2,B,1.05
3,0.5,Vp,0.019746897742152214,0.20721353590488434,0.015913082286715508,0.166983500123024,0.005458235740661621,0.05727584660053253,0.2,B_bis,1.05
4,0.0,Vp,0.018006261438131332,0.26105305552482605,0.007483058143407106,0.10848866403102875,0.0023709097877144814,0.03437322378158569,0.3,C,1.05
5,0.5,Vp,0.013056748546659946,0.2580426335334778,0.00626878347247839,0.12389098107814789,0.0021557887084782124,0.0426052026450634,0.3,C_bis,1.05
6,0.0,Vp,0.007124656345695257,0.2574290931224823,0.0026770010590553284,0.09672578424215317,0.0009477610583417118,0.034244637936353683,0.5,D,1.05
7,0.5,Vp,0.005280712619423866,0.2327485829591751,0.002673175185918808,0.11782079190015793,0.0009148866520263255,0.040323834866285324,0.5,D_bis,1.05
8,0.0,Vp,0.0020668706856667995,0.23923879861831665,0.0007751578814350069,0.08972396701574326,0.00024074317479971796,0.027865849435329437,1.0,full,1.05
