,startTime,startSample,endTime,endSample,duration,halfSlopetoFirstPeakSample,halfSlopetoFirstPeakTime,halfSlopetoFirstPeak_Amp,halfSlopefromLastPeakSample,halfSlopefromLastPeakTime,halfSlopefromLastPeak_Amp,start_Amp,end_Amp,maxPeak_Amp,maxPeakSample,maxPeakTime,n_peaks,meanAmp,AmpUp_maxPeak,subnet,subnet_size,subnet_anchor,g_peak_GABA_B1a_Vp_PC_Vp_BC
0,2790.0,77,3150.0,113,360.0,87,2890.0,-0.882946004598015,103,3050.0,-0.6641161238368637,-1.8200137348601912,-1.3823539733378887,0.05412172566416126,95,2970.0,1,0.05412172566416126,1.8741354605243525,A,0.1,0.0,0.05
1,3150.0,113,3920.0,190,770.0,134,3360.0,0.06435939814736691,173,3750.0,0.04673056202773651,-1.3823539733378887,-1.4176116455771495,1.5110727696326225,152,3540.0,1,1.5110727696326225,2.893426742970511,A,0.1,0.0,0.05
2,3920.0,190,4560.0,254,640.0,203,4050.0,0.19158068646988413,239,4410.0,0.19957121243430298,-1.4176116455771495,-1.4016305936483116,1.8007730185169177,215,4170.0,1,1.8007730185169177,3.218384664094067,A,0.1,0.0,0.05
3,4830.0,281,5210.0,319,380.0,291,4930.0,0.18638672950856705,308,5100.0,0.9858424972215503,-1.8134757345437067,-0.21456419911774,2.186249193560841,300,5020.0,1,2.186249193560841,3.9997249281045475,A,0.1,0.0,0.05
4,5210.0,319,5870.0,385,660.0,329,5310.0,0.13253033289149058,373,5750.0,-0.4354196905349369,-0.21456419911774,-1.350464245970595,0.4796248649007211,347,5490.0,1,0.4796248649007211,0.6941890640184611,A,0.1,0.0,0.05
5,6090.0,407,6600.0,458,510.0,419,6210.0,0.5930274497891823,441,6430.0,0.6957444807076747,-0.6843968659817916,-0.47896280414480685,1.8704517655601562,429,6310.0,1,1.8704517655601562,2.554848631541948,A,0.1,0.0,0.05
6,6600.0,458,7130.0,511,530.0,477,6790.0,-0.01676474249908766,502,7040.0,-0.1849613347251874,-0.47896280414480685,-0.8153559885970063,0.4454333191466316,492,6940.0,1,0.4454333191466316,0.9243961232914384,A,0.1,0.0,0.05
7,7130.0,511,7390.0,537,260.0,519,7210.0,-0.3660308320612002,532,7340.0,-0.09753312798952174,-0.8153559885970063,-0.2783605804536494,0.08329432447460597,527,7290.0,1,0.08329432447460597,0.8986503130716123,A,0.1,0.0,0.05
8,7390.0,537,7940.0,592,550.0,545,7470.0,0.06540735162124678,582,7840.0,-0.5589681309380558,-0.2783605804536494,-1.5464470513570845,0.42851078948097304,572,7740.0,2,0.418843036588558,0.7068713699346225,A,0.1,0.0,0.05
9,7940.0,592,8370.0,635,430.0,601,8030.0,-0.4826200742273252,619,8210.0,0.20496763457056316,-1.5464470513570845,-0.17127163376130755,0.5812069029024339,610,8120.0,1,0.5812069029024339,2.1276539542595185,A,0.1,0.0,0.05
10,8370.0,635,8750.0,673,380.0,646,8480.0,0.5462132129479575,663,8650.0,0.5303151477793187,-0.17127163376130755,-0.20306776409858518,1.2636980596572225,654,8560.0,1,1.2636980596572225,1.43496969341853,A,0.1,0.0,0.05
11,9020.0,700,9380.0,736,360.0,710,9120.0,0.302060809189861,727,9290.0,0.002000950674696522,-0.5158049051582734,-1.1159246221886021,1.1199265235379954,718,9200.0,1,1.1199265235379954,1.6357314286962688,A,0.1,0.0,0.05
12,9380.0,736,9660.0,764,280.0,743,9450.0,-0.3692307070622952,756,9580.0,-0.6266596267358038,-1.1159246221886021,-1.6307824615356192,0.37746320806401173,750,9520.0,1,0.37746320806401173,1.4933878302526138,A,0.1,0.0,0.05
13,9660.0,764,10060.0,804,400.0,772,9740.0,-0.5161116634723577,788,9900.0,-0.21982524141945214,-1.6307824615356192,-1.0382096174298079,0.5985591345909036,780,9820.0,1,0.5985591345909036,2.229341596126523,A,0.1,0.0,0.05
14,10060.0,804,10680.0,866,620.0,817,10190.0,0.7607590786803344,849,10510.0,0.49377832424024315,-1.0382096174298079,-1.5721711263099902,2.5597277747904768,828,10300.0,1,2.5597277747904768,3.5979373922202846,A,0.1,0.0,0.05
15,10970.0,895,11330.0,931,360.0,904,11060.0,0.00047949931353075126,920,11220.0,-0.19388489104746398,-0.5130884049103324,-0.9018171856323218,0.5140474035373939,911,11130.0,1,0.5140474035373939,1.0271358084477262,A,0.1,0.0,0.05
16,11330.0,931,11800.0,978,470.0,944,11460.0,0.035310177776392226,969,11710.0,-0.19601156273808718,-0.9018171856323218,-1.3644606666612806,0.9724375411851063,958,11600.0,1,0.9724375411851063,1.874254726817428,A,0.1,0.0,0.05
17,11800.0,978,12050.0,1003,250.0,986,11880.0,-0.5246640771032083,998,12000.0,0.054154566630190276,-1.3644606666612806,-0.20682337919448343,0.315132512454864,993,11950.0,1,0.315132512454864,1.6795931791161447,A,0.1,0.0,0.05
18,12050.0,1003,12490.0,1047,440.0,1012,12140.0,0.7303591442117727,1033,12350.0,0.3778172032037196,-0.20682337919448343,-0.91190726121059,1.667541667618029,1020,12220.0,1,1.667541667618029,1.8743650468125124,A,0.1,0.0,0.05
