,startTime,startSample,endTime,endSample,duration,halfSlopetoFirstPeakSample,halfSlopetoFirstPeakTime,halfSlopetoFirstPeak_Amp,halfSlopefromLastPeakSample,halfSlopefromLastPeakTime,halfSlopefromLastPeak_Amp,start_Amp,end_Amp,maxPeak_Amp,maxPeakSample,maxPeakTime,n_peaks,meanAmp,AmpUp_maxPeak,subnet,subnet_size,subnet_anchor,g_peak_AMPA_Vp_PC_Vp_BC
0,2110.0,9,2620.0,60,510.0,18,2200.0,0.12425818376391484,48,2500.0,0.3051403141421815,-0.6461726895092236,-0.2844084287526903,0.8946890570370533,28,2300.0,1,0.8946890570370533,1.5408617465462768,A,0.1,0.0,0.8375
1,2620.0,60,2960.0,94,340.0,68,2700.0,0.06810003928856428,84,2860.0,-0.30826042416159705,-0.2844084287526903,-1.037129355653013,0.4206085073298189,75,2770.0,1,0.4206085073298189,0.7050169360825091,A,0.1,0.0,0.8375
2,3310.0,129,4060.0,204,750.0,142,3440.0,0.6484507954482803,173,3750.0,0.8566521118316631,-1.1769562820449442,-0.7605536492781783,2.4738578729415046,154,3560.0,1,2.4738578729415046,3.650814154986449,A,0.1,0.0,0.8375
3,4470.0,245,5090.0,307,620.0,257,4590.0,0.045574299051128975,300,5020.0,0.1014755622051813,-0.5399549554404874,-0.08302810769671161,0.6311035535427453,268,4700.0,2,0.45854139282490974,1.1710585089832328,A,0.1,0.0,0.8375
4,5090.0,307,5530.0,351,440.0,314,5160.0,0.15279277609372632,332,5340.0,-0.1298459138277963,-0.08302810769671161,-0.6483054875397569,0.3886136598841643,321,5230.0,1,0.3886136598841643,0.4716417675808759,A,0.1,0.0,0.8375
5,5530.0,351,6010.0,399,480.0,363,5650.0,-0.038002783912124416,388,5900.0,-0.04982004037998777,-0.6483054875397569,-0.6719400004754836,0.5722999197155082,377,5790.0,1,0.5722999197155082,1.220605407255265,A,0.1,0.0,0.8375
6,6220.0,420,7180.0,516,960.0,431,6330.0,0.3823379659954827,491,6930.0,-0.20341634883011717,-0.3549173697694084,-0.6139423356229461,1.1195933017603739,440,6420.0,2,0.6633514698615428,1.4745106715297822,A,0.1,0.0,0.8375
7,7470.0,545,8260.0,624,790.0,560,7620.0,0.45698642281167257,587,7890.0,0.3615992230273565,-0.7858673494610712,-0.9766417490297034,1.6998401950844164,572,7740.0,1,1.6998401950844164,2.4857075445454875,A,0.1,0.0,0.8375
8,8260.0,624,8800.0,678,540.0,637,8390.0,0.028124194637015987,667,8690.0,0.07031587119325311,-0.9766417490297034,-0.8922583959172293,1.0328901383037354,649,8510.0,1,1.0328901383037354,2.0095318873334387,A,0.1,0.0,0.8375
9,8800.0,678,9400.0,738,600.0,688,8900.0,0.04272631216692002,724,9260.0,-0.20322626732373683,-0.8922583959172293,-1.3841635548985431,0.9777110202510694,697,8990.0,1,0.9777110202510694,1.8699694161682987,A,0.1,0.0,0.8375
10,9400.0,738,9710.0,769,310.0,747,9490.0,-0.6454792903078217,761,9630.0,-0.3561915023211864,-1.3841635548985431,-0.8055879789252725,0.09320497428289964,755,9570.0,1,0.09320497428289964,1.477368529181443,A,0.1,0.0,0.8375
11,9710.0,769,10150.0,813,440.0,780,9820.0,0.452644922144942,801,10030.0,0.5696277627782915,-0.8055879789252725,-0.5716222976585736,1.7108778232151565,791,9930.0,1,1.7108778232151565,2.516465802140429,A,0.1,0.0,0.8375
