,anchor,area,beta,beta_rel,delta,delta_rel,low_delta,low_delta_rel,size,subnet,g_peak_AMPA_Vp_PC_Vp_BC
0,0.0,Vp,0.2702171206474304,0.24269403517246246,0.16302348673343658,0.14641866087913513,0.05215678736567497,0.04684433341026306,0.1,A,1.875
1,0.5,Vp,0.045029349625110626,0.20154663920402527,0.035572122782468796,0.15921707451343536,0.014541066251695156,0.06508428603410721,0.1,A_bis,1.875
2,0.0,Vp,0.16658173501491547,0.23897749185562134,0.07174868881702423,0.10293038189411163,0.021874843165278435,0.03138156235218048,0.2,B,1.875
3,0.5,Vp,0.030520426109433174,0.22217464447021484,0.013882906176149845,0.10106115788221359,0.005003811325877905,0.03642544150352478,0.2,B_bis,1.875
4,0.0,Vp,0.12811313569545746,0.22995083034038544,0.05362614989280701,0.09625381231307983,0.015991855412721634,0.028703851625323296,0.3,C,1.875
5,0.5,Vp,0.020736301317811012,0.2274494171142578,0.006824073847383261,0.07485093921422958,0.0031489015091210604,0.034539226442575455,0.3,C_bis,1.875
6,0.0,Vp,0.03786401450634003,0.21437372267246246,0.016126137226819992,0.09130094200372696,0.004753290209919214,0.026911582797765732,0.5,D,1.875
7,0.5,Vp,0.01049148291349411,0.21986988186836243,0.0029825600795447826,0.06250547617673874,0.001262432662770152,0.026456786319613457,0.5,D_bis,1.875
8,0.0,Vp,0.008772642351686954,0.19373272359371185,0.0036521339789032936,0.08065276592969894,0.001002417877316475,0.022137131541967392,1.0,full,1.875
