,anchor,area,beta,beta_rel,delta,delta_rel,low_delta,low_delta_rel,size,subnet,g_peak_AMPA_Vp_PC_Vp_BC
0,0.0,Vp,0.2858699858188629,0.0844232365489006,2.0524239540100098,0.606122612953186,1.6389381885528564,0.48401185870170593,0.1,A,1.75
1,0.5,Vp,0.025563303381204605,0.19748830795288086,0.02275356464087963,0.17578178644180298,0.0071020182222127914,0.05486636608839035,0.1,A_bis,1.75
2,0.0,Vp,0.17102578282356262,0.07634907960891724,1.4788862466812134,0.6602022647857666,1.2551298141479492,0.5603132247924805,0.2,B,1.75
3,0.5,Vp,0.015660356730222702,0.22278352081775665,0.010617068968713284,0.15103794634342194,0.003199805738404393,0.04552029073238373,0.2,B_bis,1.75
4,0.0,Vp,0.12503781914710999,0.06735502928495407,1.24363374710083,0.6699172258377075,1.0661730766296387,0.5743232369422913,0.3,C,1.75
5,0.5,Vp,0.008498279377818108,0.21741458773612976,0.006290472578257322,0.16093145310878754,0.0018725518602877855,0.04790617898106575,0.3,C_bis,1.75
6,0.0,Vp,0.03208892419934273,0.06041732430458069,0.338065505027771,0.6365128755569458,0.29070019721984863,0.5473330020904541,0.5,D,1.75
7,0.5,Vp,0.003407929092645645,0.15779614448547363,0.006355092860758305,0.29425761103630066,0.00423844438046217,0.19625119864940643,0.5,D_bis,1.75
8,0.0,Vp,0.005477289669215679,0.0683772936463356,0.051810190081596375,0.646787166595459,0.04419311508536339,0.5516972541809082,1.0,full,1.75
