,startTime,startSample,endTime,endSample,duration,halfSlopetoFirstPeakSample,halfSlopetoFirstPeakTime,halfSlopetoFirstPeak_Amp,halfSlopefromLastPeakSample,halfSlopefromLastPeakTime,halfSlopefromLastPeak_Amp,start_Amp,end_Amp,maxPeak_Amp,maxPeakSample,maxPeakTime,n_peaks,meanAmp,AmpUp_maxPeak,subnet,subnet_size,subnet_anchor,g_peak_AMPA_Vp_PC_Vp_BC
0,3140.0,11,3470.0,44,330.0,19,3220.0,-0.04448513731110637,34,3370.0,-0.25156674790730515,-1.2661513914524252,-1.6803146126448227,1.1771811168302124,27,3300.0,1,1.1771811168302124,2.4433325082826376,A,0.1,0.0,1.95
1,3470.0,44,3740.0,71,270.0,52,3550.0,-0.817312978364089,65,3680.0,-0.17132706344592577,-1.6803146126448227,-0.3883427828084962,0.04568865591664469,60,3630.0,1,0.04568865591664469,1.7260032685614675,A,0.1,0.0,1.95
2,3740.0,71,4210.0,118,470.0,82,3850.0,0.5743555877333305,104,4070.0,0.15138304983823958,-0.3883427828084962,-1.2342878585986778,1.5370539582751572,92,3950.0,1,1.5370539582751572,1.9253967410836534,A,0.1,0.0,1.95
3,4520.0,149,5010.0,198,490.0,160,4630.0,0.19910007810965935,187,4900.0,0.1627500919555484,-0.3500782784295601,-0.4227782507377819,0.7482784346488787,173,4760.0,1,0.7482784346488787,1.0983567130784389,A,0.1,0.0,1.95
4,5010.0,198,5430.0,240,420.0,213,5160.0,0.16224423761600476,232,5350.0,0.12989990691440523,-0.4227782507377819,-0.48746691214098103,0.7472667259697915,224,5270.0,1,0.7472667259697915,1.1700449767075733,A,0.1,0.0,1.95
5,5430.0,240,5710.0,268,280.0,247,5500.0,-0.1864755768734524,260,5630.0,-0.255872336034655,-0.48746691214098103,-0.6262604304633862,0.11451575839407618,253,5560.0,1,0.11451575839407618,0.6019826705350573,A,0.1,0.0,1.95
6,6040.0,301,6590.0,356,550.0,312,6150.0,0.5681304907896628,341,6440.0,0.30652490759986795,-0.7001377699459922,-1.2233489363255818,1.8363987515253177,321,6240.0,1,1.8363987515253177,2.53653652147131,A,0.1,0.0,1.95
7,6840.0,381,7140.0,411,300.0,389,6920.0,-0.13487200194556936,403,7060.0,0.18695911172157775,-1.093276636490577,-0.4496144091562827,0.8235326325994383,397,7000.0,1,0.8235326325994383,1.9168092690900154,A,0.1,0.0,1.95
8,7140.0,411,7640.0,461,500.0,419,7220.0,0.3504295589989149,436,7390.0,0.31514847908495713,-0.4496144091562827,-0.5201765689841982,1.1504735271541124,427,7300.0,1,1.1504735271541124,1.6000879363103953,A,0.1,0.0,1.95
9,7640.0,461,8000.0,497,360.0,470,7730.0,-0.08159314526331873,485,7880.0,-0.057503621329439425,-0.5201765689841982,-0.4719975211164395,0.35699027845756065,477,7800.0,1,0.35699027845756065,0.8771668474417589,A,0.1,0.0,1.95
