,anchor,area,beta,beta_rel,delta,delta_rel,low_delta,low_delta_rel,size,subnet,g_peak_AMPA_Vp_PC_Vp_BC
0,0.0,Vp,0.18608656525611877,0.10578648000955582,0.9592863321304321,0.5453349947929382,0.7687358260154724,0.43701088428497314,0.1,A,0.925
1,0.5,Vp,0.24572573602199554,0.13181571662425995,0.9900034070014954,0.5310717821121216,0.7708275318145752,0.4134983420372009,0.1,A_bis,0.925
2,0.0,Vp,0.14572390913963318,0.11757011711597443,0.6984315514564514,0.5634949207305908,0.5796719193458557,0.46767958998680115,0.2,B,0.925
3,0.5,Vp,0.1928531676530838,0.1237102746963501,0.9348799586296082,0.5997011065483093,0.7385420799255371,0.47375547885894775,0.2,B_bis,0.925
4,0.15,Vp,0.1492043286561966,0.16228963434696198,0.41921308636665344,0.4559783339500427,0.3564271032810211,0.38768598437309265,0.2,B_ter,0.925
5,0.65,Vp,0.20360073447227478,0.1085183396935463,1.0969537496566772,0.5846717357635498,0.9045482873916626,0.48212045431137085,0.2,B_four,0.925
6,0.0,Vp,0.11578898131847382,0.1334105134010315,0.48407113552093506,0.5577402710914612,0.410890132188797,0.473422110080719,0.3,C,0.925
7,0.5,Vp,0.14922834932804108,0.10888674110174179,0.8613041639328003,0.6284636855125427,0.6964849233627319,0.5082008242607117,0.3,C_bis,0.925
8,0.1,Vp,0.095367431640625,0.1410311609506607,0.34942707419395447,0.5167393684387207,0.30526864528656006,0.4514370560646057,0.3,C_ter,0.925
9,0.6,Vp,0.14254821836948395,0.09975741803646088,0.8836275935173035,0.6183760762214661,0.731627881526947,0.5120043754577637,0.3,C_four,0.925
10,0.0,Vp,0.06329917907714844,0.12408797442913055,0.2915465533733368,0.5715306401252747,0.2518552839756012,0.49372225999832153,0.5,D,0.925
11,0.5,Vp,0.08279351890087128,0.09909698367118835,0.5364915728569031,0.6421359777450562,0.44593435525894165,0.5337464809417725,0.5,D_bis,0.925
12,0.0,Vp,0.04719918221235275,0.11485946923494339,0.2577421963214874,0.6272170543670654,0.21515806019306183,0.5235882997512817,1.0,full,0.925
