,count,mean,std,min,25%,50%,75%,max,session,area,binsize,n_units
0,79.0,0.42134891931456125,0.0465705436244346,0.3018707482993197,0.392219387755102,0.42304421768707484,0.44749149659863946,0.54421768707483,01_noise,Vp_exc,25,18816
0,19.0,0.42189737737200145,0.02018567937985117,0.3799957482993197,0.40816326530612246,0.42251275510204084,0.43447066326530615,0.46130952380952384,01_noise,Vp_exc,100,18816
0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02_sleep_transition,Vp_exc,25,18816
0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02_sleep_transition,Vp_exc,100,18816
0,4799.0,0.35290090197362545,0.273178613622297,0.004251700680272109,0.1828231292517007,0.2699829931972789,0.42091836734693877,2.2002551020408165,03_sleep,Vp_exc,25,18816
0,1199.0,0.3529159787351137,0.15440443199022094,0.01594387755102041,0.24473852040816327,0.33003826530612246,0.4411139455782313,1.0974702380952381,03_sleep,Vp_exc,100,18816
0,79.0,6.691645569620253,0.8567110689576533,4.1066666666666665,6.165333333333333,6.634666666666667,7.253333333333334,9.301333333333334,01_noise,Vp_inh,25,3750
0,19.0,6.697684210526316,0.5309407150379319,5.445333333333333,6.370666666666667,6.770666666666667,7.0600000000000005,7.650666666666667,01_noise,Vp_inh,100,3750
0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02_sleep_transition,Vp_inh,25,3750
0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02_sleep_transition,Vp_inh,100,3750
0,4799.0,5.94173119399875,4.505771011411913,0.032,2.912,4.650666666666667,7.498666666666667,36.608,03_sleep,Vp_inh,25,3750
0,1199.0,5.941882680011121,2.6714448811913822,0.14933333333333335,4.018666666666666,5.592,7.596,16.682666666666666,03_sleep,Vp_inh,100,3750
0,79.0,28.27774261603376,1.4406712644331598,25.841666666666665,27.266666666666666,28.041666666666668,28.879166666666666,33.34166666666667,01_noise,Tp,25,4800
0,19.0,28.294188596491225,0.8361357909065719,26.74375,27.6875,28.329166666666666,28.666666666666668,30.545833333333334,01_noise,Tp,100,4800
0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02_sleep_transition,Tp,25,4800
0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02_sleep_transition,Tp,100,4800
0,4799.0,11.094861776759048,0.9410920641404167,7.391666666666667,10.458333333333334,11.1,11.725,14.275,03_sleep,Tp,25,4800
0,1199.0,11.094512788434807,0.5220424691241198,8.960416666666667,10.751041666666666,11.108333333333333,11.466666666666667,12.885416666666666,03_sleep,Tp,100,4800
