,anchor,area,beta,beta_rel,delta,delta_rel,low_delta,low_delta_rel,size,subnet,g_peak_AMPA_Vp_PC_Vp_BC
0,0.0,Vp,0.10821287333965302,0.10669518262147903,0.5187205672264099,0.5114455223083496,0.4048510193824768,0.39917296171188354,0.1,A,0.75
1,0.5,Vp,0.25852349400520325,0.13089489936828613,1.0043853521347046,0.5085376501083374,0.7504197359085083,0.37995046377182007,0.1,A_bis,0.75
2,0.0,Vp,0.06895742565393448,0.10228845477104187,0.3526618778705597,0.5231233239173889,0.2816087007522583,0.4177261292934418,0.2,B,0.75
3,0.5,Vp,0.18508078157901764,0.12507480382919312,0.8331412076950073,0.5630242824554443,0.6471313238143921,0.43732163310050964,0.2,B_bis,0.75
4,0.15,Vp,0.06181245297193527,0.1762314736843109,0.11200030893087387,0.3193204402923584,0.08250922709703445,0.23523937165737152,0.2,B_ter,0.75
5,0.65,Vp,0.19678980112075806,0.11590926349163055,1.0298988819122314,0.6066108345985413,0.832462728023529,0.4903208613395691,0.2,B_four,0.75
6,0.0,Vp,0.049189649522304535,0.1221722811460495,0.19708921015262604,0.48951026797294617,0.16021496057510376,0.3979257345199585,0.3,C,0.75
7,0.5,Vp,0.1401226818561554,0.12152514606714249,0.6933005452156067,0.6012834906578064,0.5451933145523071,0.472833514213562,0.3,C_bis,0.75
8,0.1,Vp,0.039626069366931915,0.1570756435394287,0.10166150331497192,0.40298083424568176,0.0781775563955307,0.3098917007446289,0.3,C_ter,0.75
9,0.6,Vp,0.14303462207317352,0.11006943136453629,0.8132704496383667,0.6258360147476196,0.6646535992622375,0.5114708542823792,0.3,C_four,0.75
10,0.0,Vp,0.03048551268875599,0.14136086404323578,0.10434657335281372,0.4838535189628601,0.08134742081165314,0.3772067725658417,0.5,D,0.75
11,0.5,Vp,0.086750328540802,0.11201556026935577,0.4778731167316437,0.6170492172241211,0.3937776982784271,0.5084617733955383,0.5,D_bis,0.75
12,0.0,Vp,0.042569600045681,0.12461093813180923,0.2025388777256012,0.5928775668144226,0.1619807928800583,0.4741547703742981,1.0,full,0.75
