,anchor,area,beta,beta_rel,delta,delta_rel,low_delta,low_delta_rel,size,subnet,g_peak_AMPA_Vp_PC_Vp_BC
0,0.0,Vp,0.3290748596191406,0.15301650762557983,0.8001350164413452,0.3720547556877136,0.4726704955101013,0.21978704631328583,0.1,A,1.875
1,0.5,Vp,0.05297468230128288,0.23304037749767303,0.042890362441539764,0.1886785477399826,0.013390042819082737,0.058903999626636505,0.1,A_bis,1.875
2,0.0,Vp,0.19827663898468018,0.17369459569454193,0.37797844409942627,0.3311172127723694,0.2172044813632965,0.19027578830718994,0.2,B,1.875
3,0.5,Vp,0.03413764387369156,0.27644309401512146,0.018323373049497604,0.14838078618049622,0.007402605842798948,0.05994553491473198,0.2,B_bis,1.875
4,0.0,Vp,0.15317857265472412,0.16937828063964844,0.32263827323913574,0.35675951838493347,0.19403165578842163,0.21455185115337372,0.3,C,1.875
5,0.5,Vp,0.021773431450128555,0.3003022074699402,0.008489836007356644,0.11709300428628922,0.003722192719578743,0.05133700370788574,0.3,C_bis,1.875
6,0.0,Vp,0.044474467635154724,0.16406051814556122,0.09530165791511536,0.35155540704727173,0.059682127088308334,0.2201595902442932,0.5,D,1.875
7,0.5,Vp,0.009956901893019676,0.26610562205314636,0.006034660153090954,0.1612807959318161,0.0034293050412088633,0.09165073931217194,0.5,D_bis,1.875
8,0.0,Vp,0.011024149134755135,0.20064376294612885,0.01540573313832283,0.28039026260375977,0.008617072366178036,0.15683403611183167,1.0,full,1.875
