,anchor,area,beta,beta_rel,delta,delta_rel,low_delta,low_delta_rel,size,subnet,g_peak_AMPA_Vp_PC_Vp_BC
0,0.0,Vp,0.1192769706249237,0.20641463994979858,0.10694316774606705,0.18507039546966553,0.026629101485013962,0.04608296602964401,0.1,A,1.425
1,0.5,Vp,0.02568943053483963,0.1990600973367691,0.022583693265914917,0.17499463260173798,0.007156048901379108,0.055450189858675,0.1,A_bis,1.425
2,0.0,Vp,0.06036530062556267,0.26769548654556274,0.02036828175187111,0.0903250202536583,0.005385571159422398,0.02388281188905239,0.2,B,1.425
3,0.5,Vp,0.014994790777564049,0.21940837800502777,0.010057035833597183,0.14715762436389923,0.00306881801225245,0.04490388557314873,0.2,B_bis,1.425
4,0.0,Vp,0.03725699335336685,0.28409087657928467,0.010289272293448448,0.07845744490623474,0.0032074134796857834,0.024457070976495743,0.3,C,1.425
5,0.5,Vp,0.007978977635502815,0.21086832880973816,0.006116867531090975,0.16165651381015778,0.0020765841472893953,0.054879944771528244,0.3,C_bis,1.425
6,0.0,Vp,0.009057523682713509,0.2645364999771118,0.0035098788794130087,0.1025104746222496,0.001238830853253603,0.036181628704071045,0.5,D,1.425
7,0.5,Vp,0.0030502520967274904,0.1956614851951599,0.002433935645967722,0.15612724423408508,0.0006440134020522237,0.04131088778376579,0.5,D_bis,1.425
8,0.0,Vp,0.0016580545343458652,0.23147185146808624,0.0009072569664567709,0.1266571432352066,0.00020025839330628514,0.027956970036029816,1.0,full,1.425
