,anchor,area,beta,beta_rel,delta,delta_rel,low_delta,low_delta_rel,size,subnet,g_peak_AMPA_Vp_PC_Vp_BC
0,0.0,Vp,0.13909950852394104,0.22586855292320251,0.11324502527713776,0.18388625979423523,0.03762121498584747,0.06108899414539337,0.1,A,1.425
1,0.5,Vp,0.035894300788640976,0.18174228072166443,0.04504861682653427,0.2280929833650589,0.012821204960346222,0.06491713225841522,0.1,A_bis,1.425
2,0.0,Vp,0.08832933008670807,0.2971091568470001,0.030553044751286507,0.10276981443166733,0.012858523055911064,0.04325160011649132,0.2,B,1.425
3,0.5,Vp,0.019005484879016876,0.20062795281410217,0.017575625330209732,0.18553389608860016,0.006078263744711876,0.06416408717632294,0.2,B_bis,1.425
4,0.0,Vp,0.058296505361795425,0.3063335418701172,0.014336218126118183,0.07533323764801025,0.0061880755238235,0.03251678869128227,0.3,C,1.425
5,0.5,Vp,0.011382916942238808,0.22500647604465485,0.006572232581675053,0.12991352379322052,0.0022832034155726433,0.04513215273618698,0.3,C_bis,1.425
6,0.0,Vp,0.014298245310783386,0.27350035309791565,0.003858318319544196,0.07380285859107971,0.0016032482963055372,0.030667327344417572,0.5,D,1.425
7,0.5,Vp,0.005636930465698242,0.23888523876667023,0.0025541321374475956,0.10824055224657059,0.0007277163094840944,0.030839599668979645,0.5,D_bis,1.425
8,0.0,Vp,0.003053246531635523,0.271499365568161,0.000991029548458755,0.0881238654255867,0.00033067859476432204,0.029404448345303535,1.0,full,1.425
