,time,LFP,area,dc_amplitude,N_repeat,run_pre_duration,dc_pulse_duration,run_post_duration,recover_time_min,recover_time_jitter_max,weights,mask_radius,kernel
0,2510.0,0.060848236,Vp,15.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.1
1,2520.0,-0.26213455,Vp,15.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.1
2,2530.0,-0.38551712,Vp,15.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.1
3,2540.0,-0.1456604,Vp,15.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.1
4,2550.0,-0.06843567,Vp,15.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.1
5,2560.0,-0.29056168,Vp,15.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.1
6,2570.0,-0.42537308,Vp,15.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.1
7,2580.0,-0.16923523,Vp,15.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.1
8,2590.0,-0.12641907,Vp,15.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.1
9,2600.0,-0.30727386,Vp,15.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.1
10,2610.0,-0.35482407,Vp,15.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.1
11,2620.0,-0.19591141,Vp,15.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.1
12,2630.0,-0.17647171,Vp,15.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.1
13,2640.0,-0.23706436,Vp,15.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.1
14,2650.0,-0.3323288,Vp,15.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.1
15,2660.0,-0.41545486,Vp,15.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.1
16,2670.0,-0.10863495,Vp,15.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.1
17,2680.0,-0.21728134,Vp,15.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.1
18,2690.0,-0.2954445,Vp,15.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.1
