,anchor,area,beta,beta_rel,delta,delta_rel,low_delta,low_delta_rel,size,subnet,g_peak_AMPA_Vp_PC_Vp_BC
0,0.0,Vp,0.19793392717838287,0.25036177039146423,0.15987937152385712,0.20222750306129456,0.0647229477763176,0.08186647295951843,0.1,A,1.525
1,0.5,Vp,0.05120193585753441,0.23166462779045105,0.03532985597848892,0.15985095500946045,0.013012085109949112,0.058873552829027176,0.1,A_bis,1.525
2,0.0,Vp,0.11532182991504669,0.31146663427352905,0.03838349133729935,0.10366793721914291,0.01913701742887497,0.051686156541109085,0.2,B,1.525
3,0.5,Vp,0.03259476646780968,0.27405062317848206,0.014726195484399796,0.12381505966186523,0.005727297626435757,0.04815403372049332,0.2,B_bis,1.525
4,0.0,Vp,0.0774075910449028,0.3008807301521301,0.026763971894979477,0.10403066873550415,0.014990383759140968,0.058267123997211456,0.3,C,1.525
5,0.5,Vp,0.0205853208899498,0.29767492413520813,0.007010652683675289,0.10137784481048584,0.002736997092142701,0.03957846388220787,0.3,C_bis,1.525
6,0.0,Vp,0.02115844003856182,0.2772350609302521,0.007326966151595116,0.09600386023521423,0.0036811642348766327,0.04823360592126846,0.5,D,1.525
7,0.5,Vp,0.009474928490817547,0.3078838288784027,0.0025472878478467464,0.08277305215597153,0.0010824634227901697,0.03517419472336769,0.5,D_bis,1.525
8,0.0,Vp,0.005607315804809332,0.3107455372810364,0.0014547697501257062,0.08062024414539337,0.0006832063663750887,0.03786184638738632,1.0,full,1.525
