,anchor,area,beta,beta_rel,delta,delta_rel,low_delta,low_delta_rel,size,subnet,g_peak_AMPA_Vp_PC_Vp_BC
0,0.0,Vp,0.19557766616344452,0.18522873520851135,0.34999603033065796,0.331476092338562,0.2227935492992401,0.21100449562072754,0.1,A,1.5
1,0.5,Vp,0.050157494843006134,0.2260175347328186,0.037939559668302536,0.17096160352230072,0.012937348335981369,0.058297719806432724,0.1,A_bis,1.5
2,0.0,Vp,0.11899812519550323,0.2138795405626297,0.16674251854419708,0.29969221353530884,0.11486169695854187,0.20644499361515045,0.2,B,1.5
3,0.5,Vp,0.03201897442340851,0.26204338669776917,0.015388501808047295,0.12593954801559448,0.006143062375485897,0.050274841487407684,0.2,B_bis,1.5
4,0.0,Vp,0.08208395540714264,0.19744586944580078,0.13263513147830963,0.3190423548221588,0.09006436169147491,0.21664205193519592,0.3,C,1.5
5,0.5,Vp,0.020762715488672256,0.29944801330566406,0.006329688243567944,0.09128923714160919,0.0028371450025588274,0.040918413549661636,0.3,C_bis,1.5
6,0.0,Vp,0.024406254291534424,0.20168893039226532,0.034291598945856094,0.2833796739578247,0.02198428101837635,0.18167418241500854,0.5,D,1.5
7,0.5,Vp,0.009939594194293022,0.3146125376224518,0.0021961494348943233,0.06951351463794708,0.0009794237557798624,0.03100116364657879,0.5,D_bis,1.5
8,0.0,Vp,0.007202939596027136,0.2645418643951416,0.005709999240934849,0.2097107321023941,0.0033653811551630497,0.12360011786222458,1.0,full,1.5
