,anchor,area,beta,beta_rel,delta,delta_rel,low_delta,low_delta_rel,size,subnet,g_peak_AMPA_Vp_PC_Vp_BC
0,0.0,Vp,0.11964594572782516,0.10295459628105164,0.6302081346511841,0.542290210723877,0.48846906423568726,0.4203245937824249,0.1,A,0.7625
1,0.5,Vp,0.2672809660434723,0.13085882365703583,1.0058151483535767,0.49243980646133423,0.769681453704834,0.37683045864105225,0.1,A_bis,0.7625
2,0.0,Vp,0.07896273583173752,0.09432751685380936,0.48150336742401123,0.5751955509185791,0.39061447978019714,0.4666212797164917,0.2,B,0.7625
3,0.5,Vp,0.19252310693264008,0.12537124752998352,0.8332440257072449,0.5426093339920044,0.6752492785453796,0.43972301483154297,0.2,B_bis,0.7625
4,0.15,Vp,0.06096591055393219,0.16202503442764282,0.13464824855327606,0.357845664024353,0.09374219179153442,0.24913236498832703,0.2,B_ter,0.7625
5,0.65,Vp,0.20405732095241547,0.11302334070205688,1.0077486038208008,0.5581721663475037,0.8174610137939453,0.4527755677700043,0.2,B_four,0.7625
6,0.0,Vp,0.05734139308333397,0.11207545548677444,0.2787473499774933,0.5448199510574341,0.2252393364906311,0.44023698568344116,0.3,C,0.7625
7,0.5,Vp,0.14185617864131927,0.11345335841178894,0.7370413541793823,0.5894690155982971,0.6046978235244751,0.4836236238479614,0.3,C_bis,0.7625
8,0.1,Vp,0.03782051056623459,0.13376428186893463,0.1276223063468933,0.45137691497802734,0.09424619376659393,0.3333316743373871,0.3,C_ter,0.7625
9,0.6,Vp,0.14377960562705994,0.10621976107358932,0.7897967100143433,0.5834764838218689,0.6454761624336243,0.47685709595680237,0.3,C_four,0.7625
10,0.0,Vp,0.031208865344524384,0.1259779930114746,0.12910713255405426,0.5211549997329712,0.09537657350301743,0.3849979341030121,0.5,D,0.7625
11,0.5,Vp,0.08599173277616501,0.11576954275369644,0.43244266510009766,0.5821918845176697,0.3496409058570862,0.4707169830799103,0.5,D_bis,0.7625
12,0.0,Vp,0.042490243911743164,0.13784895837306976,0.17069441080093384,0.5537752509117126,0.12642976641654968,0.41016969084739685,1.0,full,0.7625
