,anchor,area,beta,beta_rel,delta,delta_rel,low_delta,low_delta_rel,size,subnet,g_peak_AMPA_Vp_PC_Vp_BC
0,0.0,Vp,0.07236220687627792,0.19458365440368652,0.0539986677467823,0.14520366489887238,0.020578347146511078,0.05533565208315849,0.1,A,1.225
1,0.5,Vp,0.04548262432217598,0.19608071446418762,0.03380453214049339,0.14573514461517334,0.013887571170926094,0.0598708800971508,0.1,A_bis,1.225
2,0.0,Vp,0.04591677337884903,0.21072177588939667,0.016271153464913368,0.07467176020145416,0.005494473502039909,0.025215299800038338,0.2,B,1.225
3,0.5,Vp,0.02924920618534088,0.22455675899982452,0.010554752312600613,0.0810326635837555,0.00428460817784071,0.03289449214935303,0.2,B_bis,1.225
4,0.0,Vp,0.033404234796762466,0.20386213064193726,0.012869833037257195,0.07854308187961578,0.005314572714269161,0.032434213906526566,0.3,C,1.225
5,0.5,Vp,0.02002013847231865,0.23402300477027893,0.005825269501656294,0.06809378415346146,0.002539968816563487,0.029690660536289215,0.3,C_bis,1.225
6,0.0,Vp,0.013528689742088318,0.20044273138046265,0.0045973164960742,0.06811440736055374,0.00203374563716352,0.030132224783301353,0.5,D,1.225
7,0.5,Vp,0.010521883144974709,0.21490336954593658,0.0027786805294454098,0.05675294250249863,0.0011684551136568189,0.023865019902586937,0.5,D_bis,1.225
8,0.0,Vp,0.0045585534535348415,0.18157346546649933,0.0011877845972776413,0.04731109365820885,0.0005697050364688039,0.022692136466503143,1.0,full,1.225
