,anchor,area,beta,beta_rel,delta,delta_rel,low_delta,low_delta_rel,size,subnet,g_peak_AMPA_Vp_PC_Vp_BC
0,0.0,Vp,0.11835387349128723,0.22268150746822357,0.10409887135028839,0.1958608776330948,0.043488748371601105,0.08182359486818314,0.1,A,1.325
1,0.5,Vp,0.05184044688940048,0.21343350410461426,0.03436505049467087,0.14148513972759247,0.0132271908223629,0.054457973688840866,0.1,A_bis,1.325
2,0.0,Vp,0.06957739591598511,0.2897636294364929,0.02022322453558445,0.08422210812568665,0.008675990626215935,0.03613223135471344,0.2,B,1.325
3,0.5,Vp,0.03641287237405777,0.2555840015411377,0.014064274728298187,0.09871794283390045,0.005583391524851322,0.0391901433467865,0.2,B_bis,1.325
4,0.0,Vp,0.04613153263926506,0.26772168278694153,0.013147307559847832,0.07629963755607605,0.006352098658680916,0.036864038556814194,0.3,C,1.325
5,0.5,Vp,0.02432994917035103,0.27455997467041016,0.00571820605546236,0.06452912837266922,0.002501727780327201,0.028231637552380562,0.3,C_bis,1.325
6,0.0,Vp,0.016031965613365173,0.25212961435317993,0.0040780603885650635,0.06413435935974121,0.0019464836223050952,0.030611727386713028,0.5,D,1.325
7,0.5,Vp,0.010917559266090393,0.2556507885456085,0.0020691293757408857,0.04845172166824341,0.0008474474307149649,0.019844233989715576,0.5,D_bis,1.325
8,0.0,Vp,0.0052100238390266895,0.24658571183681488,0.0009616615134291351,0.04551456868648529,0.00038869859417900443,0.018396751955151558,1.0,full,1.325
