,time,LFP,area,dc_amplitude,N_repeat,run_pre_duration,dc_pulse_duration,run_post_duration,recover_time_min,recover_time_jitter_max,weights,mask_radius,kernel
0,2510.0,-0.14979553,Vp,20.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.1
1,2520.0,-0.41567612,Vp,20.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.1
2,2530.0,-0.56280136,Vp,20.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.1
3,2540.0,-0.33213043,Vp,20.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.1
4,2550.0,-0.23567581,Vp,20.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.1
5,2560.0,-0.46617126,Vp,20.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.1
6,2570.0,-0.5721741,Vp,20.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.1
7,2580.0,-0.33268738,Vp,20.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.1
8,2590.0,-0.2858963,Vp,20.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.1
9,2600.0,-0.4679489,Vp,20.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.1
10,2610.0,-0.49855423,Vp,20.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.1
11,2620.0,-0.39866257,Vp,20.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.1
12,2630.0,-0.3356781,Vp,20.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.1
13,2640.0,-0.43141937,Vp,20.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.1
14,2650.0,-0.52537155,Vp,20.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.1
15,2660.0,-0.57022095,Vp,20.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.1
16,2670.0,-0.2750473,Vp,20.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.1
17,2680.0,-0.36426163,Vp,20.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.1
18,2690.0,-0.47022247,Vp,20.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.1
19,2700.0,-0.46463013,Vp,20.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.1
