,startTime,startSample,endTime,endSample,duration,halfSlopetoFirstPeakSample,halfSlopetoFirstPeakTime,halfSlopetoFirstPeak_Amp,halfSlopefromLastPeakSample,halfSlopefromLastPeakTime,halfSlopefromLastPeak_Amp,start_Amp,end_Amp,maxPeak_Amp,maxPeakSample,maxPeakTime,n_peaks,meanAmp,AmpUp_maxPeak,subnet,subnet_size,subnet_anchor
2,5091.0,1590,5408.0,1907,317.0,1667,5168.0,-0.06257209125087454,1820,5321.0,0.03734922516399145,-0.2556039728636715,-0.05576134003393949,0.1304597903619224,1754,5255.0,1,0.1304597903619224,0.3860637632255939,C,0.3,0.0
0,3601.0,100,3965.0,464,364.0,190,3691.0,-0.07109155206318576,380,3881.0,-0.011477788237223563,-0.22642661149721563,-0.10719908384529121,0.08424350737084409,285,3786.0,1,0.08424350737084409,0.31067011886805973,C_bis,0.3,0.5
1,3965.0,464,4280.0,779,315.0,542,4043.0,-0.013142044156822658,695,4196.0,-0.025909702039108556,-0.10719908384529121,-0.132734399609863,0.0809149955316459,612,4113.0,1,0.0809149955316459,0.1881140793769371,C_bis,0.3,0.5
2,4408.0,907,4828.0,1327,420.0,1046,4547.0,0.09692480413290193,1230,4731.0,0.08820433361534463,-0.10303102091479281,-0.12047196194990739,0.29688062918059666,1139,4640.0,1,0.29688062918059666,0.3999116500953895,C_bis,0.3,0.5
3,4828.0,1327,5145.0,1644,317.0,1404,4905.0,0.008307138210947806,1565,5066.0,-0.041946574787946,-0.12047196194990739,-0.22097938794769495,0.13708623837180298,1480,4981.0,1,0.13708623837180298,0.2575582003217104,C_bis,0.3,0.5
4,5145.0,1644,5484.0,1983,339.0,1727,5228.0,-0.024181153250491,1884,5385.0,0.08005051524394968,-0.22097938794769495,-0.012516050958813583,0.17261708144671295,1816,5317.0,1,0.17261708144671295,0.3935964693944079,C_bis,0.3,0.5
0,4404.0,903,5028.0,1527,624.0,1002,4503.0,0.050861280051926056,1446,4947.0,0.013518156147129423,-0.1124950738968914,-0.14585323611621703,0.2142176340007435,1092,4593.0,2,0.1935535912056097,0.3267127078976349,D,0.5,0.0
1,5028.0,1527,5335.0,1834,307.0,1608,5109.0,-0.018502346480421594,1752,5253.0,-0.015060744943239834,-0.14585323611621703,-0.13897003304185354,0.10884854315537387,1680,5181.0,1,0.10884854315537387,0.2547017792715909,D,0.5,0.0
0,3972.0,471,4303.0,802,331.0,549,4050.0,-0.020475951360230497,695,4196.0,-0.028191437239096964,-0.07353051554141928,-0.08896148729915221,0.03257861282095828,617,4118.0,1,0.03257861282095828,0.10610912836237756,D_bis,0.5,0.5
1,4435.0,934,4911.0,1410,476.0,1052,4553.0,0.06857402350277965,1290,4791.0,0.10024370712640404,-0.12344441208797037,-0.060105044840721565,0.2605924590935297,1166,4667.0,1,0.2605924590935297,0.38403687118150004,D_bis,0.5,0.5
2,4911.0,1410,5235.0,1734,324.0,1495,4996.0,0.009935438623523175,1652,5153.0,-0.010715549885343664,-0.060105044840721565,-0.10140702185845522,0.07997592208776791,1576,5077.0,1,0.07997592208776791,0.14008096692848948,D_bis,0.5,0.5
0,4431.0,930,4992.0,1491,561.0,1027,4528.0,0.029661261346477286,1375,4876.0,0.06876922411493683,-0.12858325535801712,-0.050367329821098046,0.1879057780509717,1131,4632.0,1,0.1879057780509717,0.3164890334089888,full,1.0,0.0
1,4992.0,1491,5323.0,1822,331.0,1572,5073.0,0.015843368014583963,1732,5233.0,-0.026222951853309168,-0.050367329821098046,-0.1344999695568843,0.08205406585026598,1648,5149.0,1,0.08205406585026598,0.13242139567136402,full,1.0,0.0
